			Domain: SAT	Domain: Ketoacyl-synt-N	Domain: Ketoacyl-synt-C	Domain: Acyl-tranferase	Domain: PT-fungal-PKS	Domain: PP-binding	Domain: AllPKSDomains_presentAbsent	Domain: Hydroxynapthalene-reductase	Domain: Scytalone-dehydratase	Domain: Tyrosinase	Domain: 4HPPD
			Path: THN	Path: THN	Path: THN	Path: THN	Path: THN	Path: THN	Path: THN	Path: THN	Path: THN	Path: Tyrosine	Path: Pyomelanin
Species: Aaosphaeria-arxii	Phylum: Ascomycota	Order: Pleosporales	-80.4089353929735	-78.20760831050174	-38.55284196865778	-90.07572071393813	-117.4089353929735	-77.23657200643706	100	-132.6382721639824	-87.2518119729938	-54.055517327849834	-143.09691001300806
Species: Abortiporus-biennis	Phylum: Basidiomycota	Order: Polyporales	-35.130768280269024	-78.67778070526609	-37.19382002601611	-71.85387196432177	0	-29.3767507096021	0	-76.17392519729917	0	-41.346787486224656	0
Species: Abortiporus-biennis	Phylum: Basidiomycota	Order: Polyporales	-35.14266750356873	-78.4202164033832	-36.95860731484178	-71.85387196432177	-55.69897000433602	-29.3767507096021	100	-75.3767507096021	0	-40.52287874528034	0
Species: Absidia-repens	Phylum: Mucoromycota	Order: Mucorales	-31.958607314841775	-58.38721614328026	-36.06550154875643	-70.65757731917779	0	-14.136677139879545	0	0	0	0	-127.03621217265444
Species: Acaromyces-ingoldii	Phylum: Basidiomycota	Order: Exobasidiales	-31.82390874094432	-67.09151498112135	-32.88605664769317	-44.18708664335715	-55.67778070526608	-43.070581074285705	0	0	0	-22.537602002101043	0
Species: Acephala-macrosclerotiorum	Phylum: Ascomycota	Order: Helotiales	-77.05060999335508	-82.44369749923271	-42.045757490560675	-89.10237290870955	-117.32790214206429	-57.50863830616573	100	-136.82390874094432	-81.53760200210104	-54.88605664769317	-135.0409586076789
Species: Achaetomium-strumarium	Phylum: Ascomycota	Order: Sordariales	-72.03621217265444	-78.79588001734407	-39.95860731484178	-88.05060999335508	-116.44369749923271	-75.33724216831843	100	-137.60205999132796	-60.95860731484178	-55.00436480540245	-132.2518119729938
Species: Acidothrix-acidophila	Phylum: Ascomycota	Order: Amplistromataceae - no_o_rank	-73.20065945054642	-74.32790214206429	-37.95860731484178	-91.60205999132796	-120.0	-53.31875876262441	100	-118.44369749923271	-89.76955107862173	-52.309803919971486	-129.16749108729377
Species: Acidomyces-richmondensis	Phylum: Ascomycota	Order: Capnodiales	-83.36653154442041	-77.0087739243075	-36.055517327849834	-86.95860731484177	-114.07058107428571	-43.88605664769317	100	-137.88605664769315	-83.30980391997149	-51.008773924307505	-133.01322826573374
Species: Acidomyces-richmondensis	Phylum: Ascomycota	Order: Capnodiales	-84.33724216831843	-78.0	-36.09151498112135	-87.0	-114.35654732351381	-43.920818753952375	0	-137.92081875395237	-83.34678748622466	-51.04095860767891	-133.04575749056067
Species: Acremonium-alcalophilum	Phylum: Ascomycota	Order: Glomerellales	-52.0	-79.07058107428571	-39.420216403383186	-88.11918640771921	-107.6197887582884	-56.455931955649724	100	0	0	-51.27572413039921	-130.79588001734407
Species: Acremonium-chrysogenum	Phylum: Ascomycota	Order: Hypocreales	-32.17392519729918	-83.82390874094432	-42.06048074738138	-89.92081875395237	0	-99.4202164033832	0	-59.455931955649724	-43.619788758288394	-49.44369749923271	-133.82390874094432
Species: Acremonium-strictum	Phylum: Ascomycota	Order: Hypocreales	-52.537602002101046	-78.67778070526609	-44.619788758288394	-87.05060999335508	-104.85387196432177	-137.4436974992327	100	-75.17392519729917	-60.795880017344075	-50.67778070526608	-134.3665315444204
Species: Agaricus-bisporus	Phylum: Basidiomycota	Order: Agaricales	-34.070581074285705	-80.92081875395237	-34.60205999132796	-69.6382721639824	-70.08618614761629	-35.69897000433602	100	-70.44369749923271	0	-55.50863830616573	0
Species: Agaricus-bisporus	Phylum: Basidiomycota	Order: Agaricales	-34.00436480540245	-83.3767507096021	-33.19382002601611	-69.60205999132796	-70.16115090926274	-34.52287874528034	100	-70.33724216831843	0	-55.36653154442041	0
Species: Agaricostilbum-hyphaenes	Phylum: Basidiomycota	Order: Agaricostilbales	-30.886056647693163	-23.602059991327963	-12.236572006437063	-73.11350927482752	0	-14.744727494896694	0	0	0	0	0
Species: Agrocybe-pediades	Phylum: Basidiomycota	Order: Agaricales	-34.85387196432176	-80.20065945054642	-31.18045606445813	-71.30980391997149	-64.6382721639824	-27.886056647693163	100	-70.67778070526609	0	-57.20065945054642	0
Species: Agrocybe-praecox	Phylum: Basidiomycota	Order: Agaricales	-35.22914798835786	-79.20065945054642	-32.6575773191778	-71.79588001734407	-60.619788758288394	-26.01772876696043	100	-66.79588001734407	0	-56.50863830616573	0
Species: Albatrellus-peckianus	Phylum: Basidiomycota	Order: Russulales	-30.55284196865778	-79.7447274948967	-34.180456064458134	-68.2518119729938	-68.15490195998575	-20.69897000433602	100	-74.76955107862173	0	-52.619788758288394	0
Species: Aliquandostipite-khaoyaiensis	Phylum: Ascomycota	Order: Jahnulales	-81.95860731484177	-83.79588001734407	-42.619788758288394	-89.76955107862173	-119.09691001300806	-71.39794000867204	100	-138.3565473235138	-88.0	-50.63827216398241	-136.26760624017703
Species: Allomyces-macrogynus	Phylum: Blastocladiomycota	Order: Blastocladiales	-31.585026652029182	-56.214670164989236	-31.886056647693163	-67.14266750356873	0	-13.657577319177793	0	0	0	-34.0	-139.3767507096021
Species: Alternaria-alternata	Phylum: Ascomycota	Order: Pleosporales	-78.69897000433602	-78.0	-38.74472749489669	-86.85387196432177	-115.79588001734407	-71.79588001734407	100	-132.4436974992327	-87.03151705144606	-52.63827216398241	-141.7447274948967
Species: Alternaria-alternata	Phylum: Ascomycota	Order: Pleosporales	-35.130768280269024	-77.4202164033832	-38.74472749489669	-86.85387196432177	-116.0	-70.85387196432177	0	-132.45593195564973	-87.04575749056067	-52.920818753952375	-141.76955107862173
Species: Alternaria-brassicicola	Phylum: Ascomycota	Order: Pleosporales	-78.65757731917779	-78.92081875395237	-38.55284196865778	-86.88605664769317	-116.69897000433602	-69.82390874094432	0	-132.39794000867204	-86.7447274948967	-54.82390874094432	0
Species: Alternaria-rosae	Phylum: Ascomycota	Order: Pleosporales	-80.39794000867204	-83.29242982390207	-39.24412514432751	-86.88605664769317	-115.05551732784983	-73.13076828026902	100	-132.00877392430752	-82.20760831050174	-53.55284196865778	-141.4814860601221
Species: Amanita-muscaria	Phylum: Basidiomycota	Order: Agaricales	-34.07572071393812	-77.85387196432177	-35.769551078621724	-70.11918640771921	-69.3767507096021	-21.0	100	-67.67778070526609	0	-52.69897000433602	0
Species: Amanita-thiersii	Phylum: Basidiomycota	Order: Agaricales	-35.24412514432751	-78.13667713987954	-36.55284196865778	-69.46852108295775	-58.180456064458134	-24.229147988357855	100	-67.85387196432177	0	-39.56863623584101	0
Species: Ambrosiozyma-philentoma	Phylum: Ascomycota	Order: Saccharomycetales	-36.180456064458134	-56.537602002101046	-36.537602002101046	-92.95860731484177	0	-15.67778070526608	0	0	0	0	-115.58502665202919
Species: Amniculicola-lignicola	Phylum: Ascomycota	Order: Pleosporales	-80.22914798835785	-80.79588001734407	-40.494850021680094	-90.85387196432177	-115.52287874528034	-46.67778070526608	100	-132.92081875395237	-84.45593195564973	-53.44369749923271	-140.60205999132796
Species: Amorphotheca-resinae	Phylum: Ascomycota	Order: Myxotrichaceae - no_o_rank	-72.30102999566398	-77.45593195564973	-39.01322826573376	-89.82390874094432	-125.58502665202919	-62.30102999566398	100	-134.08618614761627	-72.13076828026902	-54.309803919971486	-133.95860731484177
Species: Ampelomyces-quisqualis	Phylum: Ascomycota	Order: Pleosporales	-80.39794000867204	-84.60205999132796	-39.337242168318426	-90.38721614328027	-115.88605664769317	-66.79588001734407	100	-131.85387196432177	-83.36653154442041	-49.16749108729376	-139.88605664769315
Species: Amylostereum-chailletii	Phylum: Basidiomycota	Order: Russulales	-32.72124639904717	-79.79588001734407	-35.29242982390206	-60.74472749489669	-68.02227639471116	-24.958607314841775	100	-69.92081875395237	0	-53.82390874094432	0
Species: Amylocystis-lapponica	Phylum: Basidiomycota	Order: Polyporales	-22.72124639904717	-78.79588001734407	-35.619788758288394	-39.88605664769317	-65.24412514432751	-16.958607314841775	100	-73.08092190762393	0	-52.10237290870956	0
Species: Amylomyces-rouxii	Phylum: Mucoromycota	Order: Mucorales	-29.82390874094432	-30.431798275933005	-36.221848749616356	-68.4948500216801	0	-14.657577319177793	0	0	0	0	-130.4089353929735
Species: Amylocorticium-subincarnatum	Phylum: Basidiomycota	Order: Amylocorticiales	-36.24412514432751	-77.76955107862173	-36.46852108295774	-69.48148606012211	-60.52287874528034	-21.09151498112135	100	0	0	-53.82390874094432	0
Species: Anaeromyces-robustus	Phylum: Chytridiomycota	Order: Neocallimastigales	-33.180456064458134	-69.79588001734407	-37.85387196432176	-71.06048074738138	0	-138.92081875395237	0	0	0	0	0
Species: Anomoloma-albolutescens	Phylum: Basidiomycota	Order: Amylocorticiales	-35.11918640771921	-77.31875876262441	-36.337242168318426	-71.88605664769317	-72.55284196865779	-31.744727494896694	100	-63.920818753952375	0	-54.50863830616573	0
Species: Anomoporia-bombycina	Phylum: Basidiomycota	Order: Amylocorticiales	-28.920818753952375	-78.6382721639824	-36.38721614328026	-71.82390874094432	-67.88605664769317	-24.30102999566398	100	0	0	-54.920818753952375	0
Species: Anomoporia-myceliosa	Phylum: Basidiomycota	Order: Amylocorticiales	-34.95860731484178	-79.02687214640031	-36.161150909262744	-72.69897000433602	-71.3767507096021	-30.022276394711152	100	-69.35654732351381	0	-54.07572071393812	0
Species: Anthostoma-avocetta	Phylum: Ascomycota	Order: Xylariales	-78.85387196432177	-84.48148606012211	-39.136677139879545	-85.27572413039921	-109.53760200210104	-91.4089353929735	100	-134.88605664769315	-90.67778070526609	-52.481486060122116	-125.55284196865779
Species: Antonospora-locustae	Phylum: Microsporidia	Order: Antonospora - no_f_rank - no_o_rank	0	-5.853871964321762	0	0	0	0	0	0	0	0	0
Species: Antrodia-serialis	Phylum: Basidiomycota	Order: Polyporales	-34.60205999132796	-80.06048074738138	-38.60205999132796	-73.36653154442041	-51.00436480540245	-19.744727494896694	0	0	0	-25.657577319177793	0
Species: Antrodia-sinuosa	Phylum: Basidiomycota	Order: Polyporales	-32.920818753952375	-79.45593195564973	-35.88605664769317	-43.67778070526608	-49.25963731050576	-21.958607314841775	100	-74.19382002601611	0	-44.82390874094432	0
